molecule_chembl_id,canonical_smiles,logPotency
CHEMBL1429988,Nc1c(C(=O)NCCN2CCOCC2)c2nc3ccccc3nc2n1Cc1ccco1,4.300000202445418
CHEMBL3212539,COc1ccc(NC(=O)c2cc3c(COC(C)=O)cnc(C)c3o/c2=N\c2cccc(C(=O)O)c2)c(OC)c1,5.050000457140078
CHEMBL35354,C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,5.073822246012611
CHEMBL1898194,CCCCNc1nnc(CCn2nc(C)c(Br)c2C)s1,4.40000018605658
CHEMBL1200847,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1.O=S(=O)(O)CCO,4.300000202445418
CHEMBL1877407,COc1ccc2ccn(C)c2c1,4.049999969853415
CHEMBL1563485,CCS(=O)(=O)Nc1cccc(-c2ccc3nnc(-c4cccnc4)n3n2)c1,4.650000220873455
CHEMBL1898260,CC(=O)c1ccc(OCCCC(=O)OCC(=O)Nc2ccc3[nH]c(O)nc3c2)cc1,4.349999603463148
CHEMBL1898324,CC(C)C[C@H]1COCCS(=O)(=O)N1Cc1ccccc1F,4.40000018605658
CHEMBL1355384,COc1ccc(-c2nn3c(-c4cc(-c5ccccc5)n[nH]4)nnc3s2)cc1,4.0
CHEMBL1877440,COc1cc(OC)c(/C=C/c2ccc3ccccc3n2)c(OC)c1,4.250000251143582
CHEMBL1318351,COc1ccc2sc(N(Cc3cccnc3)C(=O)C3CCCCC3)nc2c1,4.450000476425332
CHEMBL1524403,Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)C(C)Sc3ccc(Cl)cc3)cc2)c(C)c1,5.050000457140078
CHEMBL1898444,Clc1ccc[n+](CCCCC[n+]2cccc(Cl)c2)c1,4.049999969853415
CHEMBL611941,COc1ccc(/C=C2\Oc3ccccc3C2=O)cc1,4.300000202445418
CHEMBL1501349,Cc1cccc(NC(=O)COc2ccc(/C=C\c3nc(O)nc(O)c3[N+](=O)[O-])cc2)c1,4.349999603463148
CHEMBL1730401,Nc1cccc2c(O)cc(S(=O)(=O)O)cc12,5.050000457140078
CHEMBL1513901,COc1cccc2oc3ccc(C#CC4(N)CCCCC4)cc3c(=O)c12,4.300000202445418
CHEMBL3193295,Cc1cc(/C=N/NC(=O)C(O)(c2ccccc2)c2ccccc2)c(C)n1-c1cccc(C(=O)O)c1,4.049999969853415
CHEMBL1142,Nc1ccc(O)cc1,5.0
CHEMBL1401747,O=C(NN1C(=O)/C(=C/C=C/c2ccco2)SC1=S)c1ccncc1,5.149997413907539
CHEMBL1334307,COCCCNC(=O)c1ccc2c3c(onc13)-c1ccccc1C2=O,4.349999603463148
CHEMBL1547446,CN1C(=O)/C(=C/C=C/c2ccco2)C(=O)NC1=S,4.700000503883016
CHEMBL1394060,COc1ccc(/C=C2\SC(=S)N(CCC(=O)Nc3cccc(C(=O)O)c3)C2=O)cc1OC,4.250000251143582
CHEMBL1423162,CCCCOC(=O)Nc1ccc(C(=O)OCCC)cc1,4.049999969853415
CHEMBL1434555,Cc1ccc(NC(=O)CN(C)C(=O)c2cccc(-n3cccc3)c2)cc1,4.250000251143582
CHEMBL1877591,OCCN(CCO)c1cc2c3ccccc3ccc2c2ccccc12,4.300000202445418
CHEMBL1609006,N=C1/C(=C/c2ccc(O)c(O)c2)C(=O)N=C2SC(CC(=O)N3CCCC3)=NN12,4.800000874803203
CHEMBL1390647,CNc1ccc(Br)cc(C(=O)/C=C/c2ccc(OC)cc2OC)c1=O,4.300000202445418
CHEMBL1406588,COCCNc1cc(C)c(C#N)c2nc3ccccc3n12,4.049999969853415
CHEMBL3193487,Cc1ccc(/C=N/NC(=O)c2nnn(-c3nonc3N)c2CN(C)C2CCCCC2)cc1,4.100000128334196
CHEMBL1413913,CCCNC(=O)C1CC(=O)N(c2ccc(OCC(=O)Nc3cccc(C)c3C)cc2)C1,4.149999867728904
CHEMBL1367035,O=C(CSc1nnc(-c2cccc(S(=O)(=O)N3CCCC3)c2)n1-c1ccccc1)Nc1ccc(C(=O)O)cc1,4.250000251143582
CHEMBL1423032,CC(=O)c1sc2nc(CSc3nnnn3-c3ccccc3)nc(O)c2c1C,4.100000128334196
CHEMBL571296,Cn1cnnc1SCC(=O)Nc1sc2c(c1C(N)=O)CCC2,4.499999678657065
CHEMBL1475504,Cc1ccc2c(=O)cc(C(=O)Nc3ccc(S(=O)(=O)Nc4nc(C)cc(C)n4)cc3)oc2c1,4.250000251143582
CHEMBL1597279,C=CCSc1nnc(NC(=O)CSc2nc3ccccc3o2)s1,4.049999969853415
CHEMBL1371869,O=C(O)c1ccccc1-c1ccc(/C=c2\sc3nc4cc(Br)cnc4n3c2=O)o1,5.0
CHEMBL1877411,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCOCCN(C)C,4.40000018605658
CHEMBL1390659,O=C(c1ccc2c3c(cccc13)C(=O)N(O)C2=O)N1CCCCC1,4.949999401714238
CHEMBL1492157,O=C1ON=C(c2ccccc2)/C1=C/c1ccc(O)c(O)c1,4.700000503883016
CHEMBL1730312,Cn1c(N)c(C(=O)CSc2nnc(-c3c[nH]c4ccccc34)n2C2CC2)c(=O)[nH]c1=O,4.700000503883016
CHEMBL1310573,Cc1ccc(Cl)cc1N1CCN(C(=O)C2CCC(=O)N2C(C)C)CC1,4.049999969853415
CHEMBL1343685,COc1ccc(-c2cc(C(=O)Nc3ccccc3N3CCOCC3)c3ccccc3n2)cc1OC,4.349999603463148
CHEMBL1437374,COc1cc(OC)cc(C(=O)Nc2ccc(-c3nc4cc(C(C)C)ccc4o3)cc2)c1,4.100000128334196
CHEMBL1476624,Cc1c(CCC(=O)O)c(=O)oc2cc3occ(-c4ccc(Br)cc4)c3cc12,4.349999603463148
CHEMBL1597222,NNC(=O)c1oc2nc(-c3ccccc3)cc(-c3ccco3)c2c1N,4.049999969853415
CHEMBL1730368,O=C(CN1c2cccc3cccc(c23)S1(=O)=O)NC1CCCCC1,4.0
CHEMBL1877821,CN(C)c1ccc(/C=C/c2ccc3ncccc3c2)cc1,4.849999245077863
CHEMBL1354314,COc1ccc(OC)c(NC(=O)c2noc3c2CCCC3)c1,5.450004148469349
CHEMBL1462139,CCOC(=O)C(C)Sc1ccc2nnc(-c3ccc(F)cc3)n2n1,4.049999969853415
CHEMBL1440986,O=C(Nc1ccccc1C(=O)O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1,4.049999969853415
CHEMBL1593804,CCOc1ccccc1CNC(=O)Cn1cc2c(n1)-c1c(oc(C(=O)N3CCCC3)c1C)CC2,4.650000220873455
CHEMBL1608813,COc1cccc(-c2nc(CS(=O)(=O)CC(=O)NCCc3cc(OC)ccc3OC)c(C)o2)c1,4.100000128334196
CHEMBL1976507,O=C(O)c1ccc(N/N=C/c2ccc3nccnc3c2)cc1,4.100000128334196
CHEMBL1354146,O=c1oc2ccccc2c2c1ccc1ccccc12,4.049999969853415
CHEMBL1469043,CCOc1cc(/C=C2\C(=O)NN(c3ccccc3)C2=O)cc([N+](=O)[O-])c1O,4.300000202445418
CHEMBL1586201,COc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)ccc1O,4.700000503883016
CHEMBL3193954,Cc1ccc(C)c(S(=O)(=O)N/N=C2/CCCc3ccccc32)c1,4.049999969853415
CHEMBL1367063,CCc1ccc(C(C)NC(=O)/C(C#N)=C\c2c[nH]nc2-c2ccccc2)cc1,4.100000128334196
CHEMBL1429843,S=C(NCC1CCCO1)Nc1ccc(Cl)c(Cl)c1,4.049999969853415
CHEMBL1710321,CCCCCCCCCCCCCCCC[n+]1ccccc1.O.[Br-],4.049999969853415
CHEMBL1322110,CC1=NOC(=O)/C1=C\c1ccc(-c2ccc(Br)cc2)o1,4.100000128334196
CHEMBL133576,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1.[Na+],4.250000251143582
CHEMBL1608924,COC(=O)c1c(C(=O)OC)c(-c2cccc(Cl)c2)n2c1C[S+]([O-])C2,6.0499760934766735
CHEMBL1343718,CCOc1cccc(=O)c2c(C)n(C)c(C)c12,4.300000202445418
CHEMBL1519628,Cc1ccccc1-c1nc(NC(=O)CSc2ncnc3sc4c(c23)CCCC4)ns1,5.499996931948306
CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,5.799998134593398
CHEMBL1435525,COc1ccc(C(=O)CC2(O)C(=O)N(Cc3cccc(C(F)(F)F)c3)c3ccccc32)cc1,4.349999603463148
CHEMBL1492227,Cc1cc(C)c(NC(=O)CSc2nc3ccccc3nc2N2CCCCC2)c(C)c1,4.100000128334196
CHEMBL1440924,COc1ccc(CC2(CO)CCN(Cc3nc(C(C)C)cs3)CC2)cc1,4.40000018605658
